particle,time,energy,r,potential,impact parameter,v0
1,36313.49455363045,4301.978847655308,1912654011594300.0,-69014.21183318966,7475483498014816.0,92.0
1,37330.86424305907,4312.253566353887,1908446424087842.0,-69126.98016176838,7475483498014816.0,92.0
1,38376.73686501157,4323.532894489763,1904162717715352.8,-69240.47730107413,7475483498014816.0,92.0
1,39451.910966143,4335.88157141539,1899803789001233.0,-69354.5727137823,7475483498014816.0,92.0
1,40557.20746542943,4349.36766216562,1895370790094287.2,-69469.12319192481,7475483498014816.0,92.0
1,41693.47028095817,4364.062659938994,1890865154062290.8,-69583.97205544414,7475483498014816.0,92.0
1,42861.56697427663,4380.041581787475,1886288622321218.8,-69698.94832423756,7475483498014816.0,92.0
1,44062.38941279583,4397.383055442508,1881643274362555.8,-69813.86586685378,7475483498014816.0,92.0
1,45296.85445074953,4416.169394885015,1876931559951945.8,-69928.52252997205,7475483498014816.0,92.0
1,46565.90462923326,4436.486661888455,1872156333982226.2,-70042.69925394602,7475483498014816.0,92.0
1,47870.50889585484,4458.424710348307,1867320894173553.8,-70156.15918103092,7475483498014816.0,92.0
1,49211.66334454696,4482.077209737865,1862429021822599.2,-70268.64676446762,7475483498014816.0,92.0
1,50590.391976107494,4507.541643500532,1857485025811444.8,-70379.88688839643,7475483498014816.0,92.0
1,52007.74748004512,4534.91927759767,1852493790094576.0,-70489.58401063725,7475483498014816.0,92.0
1,53464.812038332464,4564.315093775673,1847460824888756.0,-70597.42134273057,7475483498014816.0,92.0
1,54962.69815167431,4595.837681377088,1842392321795302.2,-70703.06008432405,7475483498014816.0,92.0
1,56502.549488927056,4629.599080723143,1837295213086618.5,-70806.13873200813,7475483498014816.0,92.0
1,58085.54176031472,4665.714570199096,1832177235388323.2,-70906.27248610962,7475483498014816.0,92.0
1,59712.88361510949,4704.302388208365,1827046997984039.8,-71003.05278272848,7475483498014816.0,92.0
1,61385.81756446163,4745.483380101898,1821914055961081.5,-71096.04698248109,7475483498014816.0,92.0
1,63105.620930084966,4789.380559054,1816788988400813.0,-71184.79825197444,7475483498014816.0,92.0
1,64873.60681951825,4836.118568638529,1811683481796247.2,-71268.82567896743,7475483498014816.0,92.0
1,66691.12512871357,4885.823033563371,1806610418850042.2,-71347.62466744529,7475483498014816.0,92.0
1,68559.56357270964,4938.619783681817,1801583972767116.5,-71420.66766434681,7475483498014816.0,92.0
1,70480.34874518366,4994.633934993588,1796619707105764.8,-71487.4052753851,7475483498014816.0,92.0
1,72454.94720768661,5053.988809955859,1791734681187811.5,-71547.26783308662,7475483498014816.0,92.0
1,74484.86660939513,5116.8046780185105,1786947560989853.5,-71599.6674857104,7475483498014816.0,92.0
1,76571.65683823434,5183.197295982725,1782278735342116.2,-71644.00088077784,7475483498014816.0,92.0
1,78716.9112042524,5253.276226566231,1777750437146729.2,-71679.65252126358,7475483498014816.0,92.0
1,80922.26765614563,5327.14291254578,1773386869191345.0,-71705.99887562783,7475483498014816.0,92.0
1,83189.41003187059,5404.888483112038,1769214333975063.5,-71722.41332432277,7475483498014816.0,92.0
1,85520.06934428902,5486.591268717384,1765261366780169.5,-71728.27202459019,7475483498014816.0,92.0
1,87916.0251028354,5572.31400086185,1761558871014052.5,-71722.96077158742,7475483498014816.0,92.0
1,90379.10667221106,5662.100674067697,1758140254610786.8,-71705.88292638473,7475483498014816.0,92.0
