ImpactParameter,Entered,InitialVelocity,Ncaptured,CapturedVolume
[7.6154167e+15 6.6293964e+15 5.9245251e+15 5.4051154e+15],4,89.4,0,0.0
[5.1783363e+15 6.6172228e+15],2,89.6,0,0.0
[8.076872e+15],1,89.8,0,0.0
[],0,90.0,0,0.0
[3.988912e+15 7.985232e+15],2,90.2,0,0.0
[],0,90.4,0,0.0
[4.1111145e+15],1,90.6,0,0.0
[6.9373396e+15],1,90.8,0,0.0
[2.257922e+15],1,91.0,0,0.0
[1.9799689e+15],1,91.2,0,0.0
[4.4126362e+15 5.3765968e+15],2,91.4,0,0.0
[4.4231103e+15],1,91.6,0,0.0
[6.9346805e+15],1,91.8,0,0.0
[],0,92.0,0,0.0
[],0,92.2,0,0.0
[5.0090169e+15 7.7047085e+15 4.6597303e+15],3,92.4,1,3.4020172252907e+47
[],0,92.6,0,0.0
[],0,92.8,0,0.0
[7.6967301e+15 6.9200449e+15 5.8372707e+15],3,93.0,0,0.0
[6.4723101e+15 7.2511605e+15 4.5444732e+15 7.5234250e+15 7.4634452e+15],5,93.2,1,7.350859162873073e+47
[2.9020576e+15],1,93.4,0,0.0
[],0,93.6,0,0.0
[],0,93.8,0,0.0
[6.781046e+15],1,94.0,0,0.0
[4.663567e+15],1,94.2,0,0.0
[],0,94.4,0,0.0
[],0,94.6,0,0.0
[],0,94.8,0,0.0
[],0,95.0,0,0.0
[4.2900632e+15 2.7317216e+15],2,95.2,0,0.0
[3.2637124e+15],1,95.4,0,0.0
[4.3323303e+15],1,95.6,0,0.0
[],0,95.8,0,0.0
[],0,96.0,0,0.0
[6.029398e+15 7.516488e+15],2,96.2,0,0.0
[2.9196224e+15],1,96.4,0,0.0
[5.074879e+15],1,96.6,0,0.0
[5.4881565e+15],1,96.8,0,0.0
[4.3079308e+15 5.7377461e+15],2,97.0,0,0.0
[],0,97.2,0,0.0
[],0,97.4,0,0.0
[],0,97.6,0,0.0
[],0,97.8,0,0.0
[],0,98.0,0,0.0
[3.539317e+15],1,98.2,0,0.0
[],0,98.4,0,0.0
[4.3656337e+15],1,98.6,0,0.0
[6.3629468e+15 1.8429099e+15 7.0887174e+15],3,98.8,0,0.0
[7.3840543e+15],1,99.0,0,0.0
[3.8296862e+15],1,99.2,0,0.0
[4.9969067e+15],1,99.4,0,0.0
[],0,99.6,0,0.0
[5.922550e+15 6.887942e+15],2,99.8,0,0.0
[4.326591e+15],1,100.0,0,0.0
[6.876919e+15],1,100.2,0,0.0
[9.7898444e+14],1,100.4,0,0.0
[],0,100.6,0,0.0
[5.2227683e+15 3.9125960e+15 3.0320032e+15],3,100.8,0,0.0
[1.8768219e+15 6.8424160e+15],2,101.0,0,0.0
[],0,101.2,0,0.0
[6.738919e+15],1,101.4,0,0.0
[3.7322222e+15],1,101.6,0,0.0
[3.5995807e+15],1,101.8,0,0.0
[],0,102.0,0,0.0
[5.4647773e+15],1,102.2,0,0.0
[1.9774279e+15 6.6625621e+15 5.2023946e+15],3,102.4,1,2.6763844028677287e+47
[1.3485224e+15],1,102.6,0,0.0
[3.4000378e+15 5.8647161e+15],2,102.8,0,0.0
[5.7834505e+15 7.0278099e+15 6.8112780e+15],3,103.0,0,0.0
[6.9385637e+15 5.6393565e+15 6.2869753e+15],3,103.2,0,0.0
[4.5521263e+15 4.5075070e+15],2,103.4,1,1.4716411654075569e+47
[6.7423395e+15],1,103.6,0,0.0
[1.08271925e+15],1,103.8,0,0.0
[5.4436896e+15 6.4705239e+15],2,104.0,0,0.0
[],0,104.2,0,0.0
[6.147738e+15 6.585980e+15 4.608060e+15],3,104.4,0,0.0
[],0,104.6,0,0.0
[],0,104.8,0,0.0
[],0,105.0,0,0.0
[3.7043964e+15],1,105.2,0,0.0
[],0,105.4,0,0.0
[],0,105.6,0,0.0
[2.010288e+15 5.921907e+15 6.094120e+15],3,105.8,1,2.797672013869124e+47
[4.4520917e+15 3.1269144e+15],2,106.0,0,0.0
[],0,106.2,0,0.0
[6.5714095e+15],1,106.4,0,0.0
[6.568924e+15],1,106.6,0,0.0
[4.9135822e+15 6.5024973e+15 4.4149593e+15 4.9803142e+15],4,106.8,0,0.0
[6.630855e+15],1,107.0,0,0.0
[1.0092265e+15],1,107.2,0,0.0
[],0,107.4,0,0.0
[],0,107.6,0,0.0
[5.7633114e+15 6.7880573e+15],2,107.8,0,0.0
[5.372852e+15],1,108.0,0,0.0
[],0,108.2,0,0.0
[5.9817534e+15],1,108.4,0,0.0
[],0,108.6,0,0.0
[],0,108.8,0,0.0
[],0,109.0,0,0.0
[6.0768526e+15 4.3885834e+15 2.4033314e+15 6.6372272e+15],4,109.2,0,0.0
[4.8405393e+15 2.0033025e+15 4.8878789e+15 6.4990570e+15],4,109.4,0,0.0
[2.9811285e+15],1,109.6,0,0.0
[5.187046e+15],1,109.8,0,0.0
[5.4716584e+15 3.2600428e+15 2.6485579e+15],3,110.0,0,0.0
[],0,110.2,0,0.0
[5.529686e+15],1,110.4,0,0.0
[5.339213e+15 5.878689e+15],2,110.6,0,0.0
[2.7542066e+15],1,110.8,0,0.0
[],0,111.0,0,0.0
[3.9649162e+15],1,111.2,0,0.0
[1.7647450e+15 3.0190555e+15],2,111.4,0,0.0
[6.1225908e+15 4.4054164e+14 3.4814098e+15],3,111.6,0,0.0
[6.0470503e+15],1,111.8,0,0.0
[6.340506e+15],1,112.0,0,0.0
[5.7166573e+15 6.5282365e+15],2,112.2,0,0.0
[],0,112.4,0,0.0
[5.739196e+15],1,112.6,0,0.0
[],0,112.8,0,0.0
[],0,113.0,0,0.0
[3.1643636e+15],1,113.2,0,0.0
[5.6704413e+15 4.3853055e+15],2,113.4,0,0.0
[3.7833462e+15],1,113.6,0,0.0
[5.4117195e+15],1,113.8,0,0.0
[6.1056756e+15],1,114.0,0,0.0
[],0,114.2,0,0.0
[4.3186575e+15 5.4518801e+15],2,114.4,0,0.0
[2.9769106e+15],1,114.6,0,0.0
[5.7087476e+15],1,114.8,0,0.0
[],0,115.0,0,0.0
[],0,115.2,0,0.0
[5.506532e+15],1,115.4,0,0.0
[6.0547706e+15],1,115.6,0,0.0
[3.1517211e+15 3.1417954e+15],2,115.8,0,0.0
[2.8247764e+15],1,116.0,0,0.0
